Building ID,yield drift,yield force,peak drift,peak force,2% drift,2% force,2% area,fitted initial stiffness,fitted hardening stiffness,fitted hardening ratio
363,0.010607062,0.315450914,0.0174252,0.358815197,0.02,0.350756244,0.004909009,29.63903931,7.142452627,0.240981246
366,0.011502305,0.323950765,0.0238996,0.340686386,0.02,0.339020996,0.004703582,27.90056024,1.729872106,0.062001339
369,0.010672163,0.37927259,0.022372,0.3979743,0.0200002,0.396557101,0.005667154,35.25936621,1.995471347,0.056594079
372,0.01109835,0.338932315,0.0230235,0.351681226,0.02,0.350718774,0.004978796,30.19745606,1.36722927,0.045276306
375,0.010681071,0.308868835,0.0223184,0.319530731,0.02,0.319115756,0.004598903,28.68148634,1.209840971,0.042181948
378,0.011698497,0.459372443,0.0192311,0.496111111,0.0200003,0.493495758,0.006686025,39.21990743,5.64387567,0.14390334
381,0.012721143,0.373038026,0.0207799,0.401746874,0.02,0.401279003,0.005204892,29.28996769,4.19617032,0.143263057
384,0.013343712,0.405981677,0.0213141,0.440071393,0.02,0.438980741,0.005534431,30.369436,5.118119443,0.16852863
387,0.010618011,0.375974078,0.0171796,0.407717386,0.0200001,0.398414902,0.005724278,35.3458433,5.808215008,0.164325263
390,0.011865916,0.40020346,0.018312,0.435839541,0.02,0.430440373,0.005827455,33.66560463,6.631934737,0.196994375
393,0.012509606,0.354157096,0.0192842,0.383740894,0.02,0.381399745,0.00501358,28.25162319,5.255029401,0.186008052
396,0.010144185,0.334354374,0.0158548,0.362908213,0.0200001,0.349325411,0.00518115,32.90627333,6.169407278,0.187484229
399,0.011064072,0.335312509,0.0182692,0.379227499,0.02,0.375478752,0.005117713,30.19959457,7.166310804,0.237298245
402,0.010529693,0.341790339,0.0167842,0.394797357,0.02,0.384664024,0.00538042,32.28784423,9.218394199,0.285506649
405,0.016381337,0.533932022,0.0380535,0.547942222,0.0200022,0.541014747,0.006369081,31.96044391,0.870352899,0.027232191
408,0.012935771,0.378495774,0.0194359,0.425642501,0.02,0.425609238,0.005356315,29.03699068,8.952441352,0.30831161
411,0.012638312,0.433550531,0.0258718,0.48889061,0.02,0.473889693,0.006106099,33.84446338,4.85548046,0.143464543
414,0.01279196,0.453706051,0.0232712,0.482172052,0.020002,0.481417229,0.006303585,35.06792073,3.560047887,0.101518648
417,0.014292822,0.43564221,0.0228333,0.458888877,0.02,0.458830222,0.005708377,30.08817528,3.686099111,0.122509892
420,0.013279099,0.372097926,0.0271923,0.395322503,0.02,0.388606794,0.005090564,27.22954145,1.99572256,0.073292551
423,0.012366977,0.455724206,0.0250775,0.472725024,0.0200006,0.470337198,0.006393369,36.26172035,1.710096357,0.047159824
426,0.010974121,0.394732232,0.0191282,0.446561226,0.02,0.446346194,0.006058909,35.61487893,7.931926605,0.222713844
429,0.011011765,0.393496567,0.0182308,0.436960513,0.02,0.436887431,0.005980206,35.51098911,7.151827216,0.201397578
432,0.014600173,0.563064024,0.0229241,0.610128364,0.020001,0.603456323,0.007283151,38.28820156,6.862725374,0.179238645
435,0.01364,0.527108255,0.0201026,0.619747057,0.02,0.61969698,0.007297673,38.44566995,16.34263059,0.425083777
438,0.013358718,0.423730201,0.0195385,0.478399492,0.02,0.478139767,0.005885738,31.5398347,10.47498901,0.332119338
441,0.013525356,0.519603288,0.0216026,0.571628471,0.02,0.568112706,0.007132235,37.58772506,7.924860239,0.210836389
444,0.015460426,0.47458508,0.0299103,0.498525133,0.02,0.491467745,0.005910146,30.062928,2.190060046,0.072849193
447,0.012330236,0.415338997,0.0209103,0.461346473,0.02,0.459737931,0.005963392,33.43742902,6.507368645,0.194613307
450,0.012507418,0.464459191,0.0242821,0.493844251,0.02,0.491291208,0.006525843,36.64597615,3.225105925,0.088007096
453,0.014126521,0.525143533,0.0281538,0.550195074,0.02,0.543751111,0.006874475,36.77242836,2.237521701,0.060847809
456,0.012418109,0.399699264,0.0239359,0.422460797,0.02,0.420593954,0.005643122,31.60789186,2.600539004,0.082274991
459,0.012540053,0.340381698,0.0258758,0.360126061,0.0200017,0.354804848,0.004735356,26.96136848,1.723661848,0.0639308
462,0.011863385,0.329950895,0.0244289,0.36978974,0.02,0.364201869,0.004787425,27.65863999,3.831630757,0.138532869
465,0.012032801,0.331376522,0.0274009,0.356310123,0.02,0.351690441,0.00472358,27.25812691,2.063991103,0.07572021
468,0.010576587,0.314240233,0.0249192,0.344765752,0.0200008,0.340967059,0.004752885,29.52888449,2.588514616,0.087660427
471,0.012294036,0.286817126,0.0328555,0.321221505,0.02,0.30586724,0.004058221,22.91600453,1.9742159,0.086150092
474,0.011211089,0.308080324,0.0265618,0.324232542,0.02,0.322264521,0.004503447,27.31984327,1.361855208,0.049848573
477,0.010275803,0.292238179,0.0246392,0.312707053,0.0200005,0.310836522,0.00444092,28.27915909,1.786161144,0.063161749
480,0.01015518,0.263790629,0.023042,0.282021587,0.02,0.281045824,0.004035248,25.84765628,1.76421872,0.068254495
483,0.01140637,0.274974487,0.0257576,0.296560561,0.02,0.294152392,0.004021504,23.90779927,1.905650631,0.079708325
486,0.013166168,0.461863978,0.0289169,0.499290101,0.0200008,0.487805212,0.006270415,34.93355557,2.916316925,0.083481824
489,0.013853228,0.415167763,0.0307343,0.440233603,0.02,0.431144341,0.00546605,29.87258712,1.828562068,0.061212042
492,0.014049882,0.345538567,0.0297902,0.359651499,0.02,0.356003668,0.004508258,24.52290198,1.132154052,0.046167214
495,0.011437532,0.323387714,0.0261888,0.347447582,0.02,0.345042876,0.00470816,28.17346712,2.078717341,0.073782802
498,0.012116492,0.374333303,0.0324709,0.438483039,0.02,0.408014222,0.005365441,30.36708637,3.714321902,0.122314069
501,0.012038162,0.32418041,0.0215268,0.363396373,0.02,0.360538238,0.004695962,26.83601525,4.775647092,0.177956639
504,0.011847964,0.332730665,0.0267599,0.356475556,0.02,0.351361739,0.004771615,27.83827089,1.935173359,0.069514855
507,0.012388887,0.350321676,0.0320629,0.404406612,0.02,0.379926875,0.004958583,27.8092239,3.151338688,0.113319908
510,0.011510468,0.300058232,0.0264219,0.330394234,0.02,0.325365526,0.004382956,25.89812365,2.541158236,0.098121326
513,0.011682763,0.388455797,0.0224153,0.433330101,0.0200008,0.432001616,0.005696327,33.10456411,5.16823219,0.156118418
